X,Y,OBJECTID,LDTC_TypeDescription,LDLI_Category,Library,Branch,SecondaryName,LDLI_Address1,LDLI_City,LDLI_State,LDLI_Zip,LDLI_County,LDLI_AddPhones,LDLI_FAX,LDLI_email,LDLI_URL,Longitude,Latitude,GlobalID
-120.5295038,46.5869818,17,Academic Libraries,2-year,Yakima Valley College Library,Yakima Valley College Library,,S 16th Ave & Nob Hill Blvd,Yakima,WA,98902,Yakima,(509) 574-4991,5095744989,yvcclibrary@yvcc.edu,https://www.yvcc.edu/services/library/,-120.5295038,46.5869818,7893791e-f96e-4658-852f-6048ae34b359
-119.91042,46.2559800000001,18,Academic Libraries,2-year,Yakima Valley College Library,Grandview Library,,500 W. Main Street,Grandview,WA,98930-1358,Yakima,(509) 882-7034,,library@grandview.wa.us,http://www.grandview.wa.us/departments/library/,-119.91042,46.25598,b6a5a1db-8841-46a8-aa67-8a7df2bf46de
-122.33069,47.8186000000001,19,Academic Libraries,2-year,Edmonds College,Edmonds College,,20000 68th Ave W,Lynnwood,WA,98036-5999,Snohomish,(425) 640-1472,,,http://www.edcc.edu/library/,-122.33069,47.8186,adedbc7e-db42-4f24-99a5-f11ed1d79965
-122.5101,48.7662700000001,20,Academic Libraries,2-year,Bellingham Technical College Library,Bellingham Technical College Library,,3028 Lindbergh Ave,Bellingham,WA,98225-1599,Whatcom,(360) 752-8383,3607528384,library@btc.edu,https://www.btc.edu/Library,-122.5101,48.76627,0d71c8c2-3200-4d55-83bc-dac32067f5aa
-123.11136,47.2290800000001,21,Academic Libraries,2-year,"Olympic College, Haselwood Library",The Johnson Library - Olympic College Shelton Campus,,937 W Alpine Way,Shelton,WA,98584-1200,Mason,(360) 432-5460,,,http://libguides.olympic.edu/index,-123.11136,47.22908,91953cce-11ae-4395-8512-ef2707f5fe08
-122.33376,47.7030500000001,22,Academic Libraries,2-year,Seattle Colleges Library Technical Services,North Seattle Community College,,9600 College Way N,Seattle,WA,98103,King,(206) 934-3609,,,http://libguides.northseattle.edu/welcome,-122.33376,47.70305,57274fcf-fb59-47f9-b9ac-e8319f37b62b
-122.32135,47.6168900000001,23,Academic Libraries,2-year,Seattle Colleges Library Technical Services,Seattle Central Community College,,"1701 Broadway, 2BE2101",Seattle,WA,98122-2413,King,(206) 934-5421,2069343878,,http://www.seattlecentral.edu/library,-122.32135,47.61689,28495bb4-a23d-487a-a4be-5fb68aef51a8
-122.32174,47.61438,24,Academic Libraries,2-year,Seattle Colleges Library Technical Services,Seattle Colleges Library Technical Services,,1500 Harvard Ave,Seattle,WA,98122,King,(206) 934-4106,,,http://www.seattlecolleges.edu,-122.32174,47.61438,7ceb4711-e759-47c6-a95f-e845f9753f46
-122.35307,47.5469900000001,25,Academic Libraries,2-year,Seattle Colleges Library Technical Services,South Seattle Community College,,6000 16th Ave SW,Seattle,WA,98106-1499,King,(206) 934-6408,2067635155,,http://www.southseattle.edu/library/,-122.35307,47.54699,e0e47887-d831-42b4-b775-72382e7536ce
-122.17827,47.4893200000001,26,Academic Libraries,2-year,Renton Technical College,Renton Technical College,,3000 NE 4th Street,Renton,WA,98056,King,(425) 235-2331,4252357816,librarian@rtc.edu,http://www.rtc.edu/library,-122.17827,47.48932,6c31f2bd-4f6b-4a0a-af5f-36746f8048b0
-122.27393,47.15815,27,Academic Libraries,2-year,Pierce College - Fort Steilacoom,Pierce College - Puyallup,,1601 39th Ave SE,Puyallup,WA,98374-2210,Pierce,(253) 840-8300,,library@pierce.ctc.edu,https://www.pierce.ctc.edu/library,-122.27393,47.15815,05b1b12f-d52d-4280-89f2-61f673c2ebbd
-122.57186,47.1761300000001,28,Academic Libraries,2-year,Pierce College - Fort Steilacoom,Pierce College - Fort Steilacoom,,9401 Farwest Dr SW,Lakewood,WA,98498,Pierce,(253) 964-6547,,library@pierce.ctc.edu,https://www.pierce.ctc.edu/library,-122.57186,47.17613,9fbd90ae-d67f-48bf-8a26-e5e3d6982791
-122.35593,47.74616,29,Academic Libraries,2-year,Shoreline Community College Library,Shoreline Community College Library,,16101 Greenwood Ave N,Shoreline,WA,98133-5667,King,206-546-4556,,library@shoreline.edu,http://www.shoreline.edu/library,-122.35593,47.74616,f53c04e4-6b42-4540-af3e-415de0cafef9
-122.66264,47.7654900000001,30,Academic Libraries,2-year,"Olympic College, Haselwood Library",Olympic College Poulsbo Campus Library,,1000 Olympic College Way,Poulsbo,WA,98370-7198,Kitsap,360-394-2721,,,http://libguides.olympic.edu/index,-122.66264,47.76549,23e03cac-329f-41aa-8bce-6f58a643041d
-117.36338,47.67218,31,Academic Libraries,2-year,Spokane Community College,Spokane Community College,,1810 N Greene St,Spokane,WA,99217-5399,Spokane,509-533-8255,5095337276,reference@scc.spokane.edu,http://scc.spokane.edu/For-Our-Students/Libraries,-117.36338,47.67218,a4210902-ba0e-43da-863b-88b368148c47
-122.63579,47.5756700000001,32,Academic Libraries,2-year,"Olympic College, Haselwood Library","Olympic College, Haselwood Library",,1600 Chester Ave,Bremerton,WA,98337-1699,Kitsap,360-475-7250,,librarians@olympic.edu,http://libguides.olympic.edu/index/,-122.63579,47.57567,4b909cff-29ea-4bdf-b7f1-23f083ba2079
-122.93791,46.14286,33,Academic Libraries,2-year,Lower Columbia College Library & Learning Commons,Lower Columbia College Library & Learning Commons,,1600 Maple St,Longview,WA,98632-0310,Cowlitz,(360) 422-2660,,library.circulation@lcc.ctc.edu,http://lowercolumbia.edu/library/index.php,-122.93791,46.14286,8bf6780f-a2dc-4309-a26f-0ab8df7ebf3b
-122.1680562,47.7052574000001,34,Academic Libraries,2-year,Lake Washington Institute of Technology,Lake Washington Institute of Technology,,LWTECH Library Learning Commons,Kirkland,WA,98034-8505,King,(425) 739-8320,4257398198,library@lwtech.edu,http://www.lwtech.edu/campus-life/library/,-122.1680562,47.7052574,187ffc90-af42-4062-b4b1-3c3b8ef28edf
-122.18022,47.3124700000001,35,Academic Libraries,2-year,Green River College,Green River College,,12401 SE 320th St,Auburn,WA,98092-3622,King,253-833-9111,2532883436,librarian@greenriver.edu,http://www.greenriver.edu/library,-122.18022,47.31247,2953b26b-7261-4867-aa66-d4cfce344e4d
-123.80215,46.9533300000001,36,Academic Libraries,2-year,John Spellman Library at Grays Harbor College,John Spellman Library at Grays Harbor College,,1620 Edward P. Smith Dr,Aberdeen,WA,98520,Grays harbor,(360) 538-4050,3605384294,lib-ref@ghc.edu,http://www.ghc.edu/library,-123.80215,46.95333,9c3aa98a-48c1-4033-ae9c-b609dc130ce4
-122.20578,48.00687,37,Academic Libraries,2-year,Everett Community College Library,Everett Community College Library,,2000 Tower Street,Everett,WA,98201-1352,Snohomish,"425-388-9353 (circulation); 425-388-9354 (reference)",4253889144,library@everettcc.edu,http://everettcc.edu/library,-122.20578,48.00687,baaa615f-1381-45a1-92c6-50c25f900840
-119.27887,46.2778000000001,38,Academic Libraries,2-year,Columbia Basin College,Richland Health Science Center,,891 Northgate Dr,Richland,WA,99352,Benton,509-544-8336,,library@columbiabasin.edu,http://www.columbiabasin.edu/medicallibrary,-119.27887,46.2778,ba196175-20f1-491b-9a57-403ab288d841
-119.12696,46.25233,39,Academic Libraries,2-year,Columbia Basin College,Columbia Basin College,,2600 N 20th Ave,Pasco,WA,99301-3379,Franklin,(509) 542-4887,,library@columbiabasin.edu,http://www.columbiabasin.edu/library,-119.12696,46.25233,b2b26ab7-ccfc-4560-82e8-6150bd6c8128
-123.41487,48.0998200000001,40,Academic Libraries,2-year,Peninsula College Library/Media Center,Peninsula College Library/Media Center,,1502 E. Lauridsen Blvd.,Port Angeles,WA,98362,Clallam,(360) 417-6280,3604176295,pclibrary@pencol.edu,http://www.pencol.edu/library,-123.41487,48.09982,71e84e2f-89ce-422e-9b5b-8485732c88e3
-117.47368,47.67598,41,Academic Libraries,2-year,Mukogawa Ft. Wright Institute,Mukogawa Ft. Wright Institute,,4000 W Randolph Rd,Spokane,WA,99224-5279,Spokane,(509) 328-2971,5093256540,,http://www.mfwi.org/library,-117.47368,47.67598,361cd54f-2dc1-4508-b12b-05ca5ec27f0b
-122.33131,47.6004500000001,42,Academic Libraries,2-year,Pinchot University,Pinchot University,,"220 Second Avenue S, 4th Floor",Seattle,WA,98104,King,(206) 855-9559,,,http://pinchot.edu,-122.33131,47.60045,c87f65e5-b04c-46da-ba59-bf21ccee01ac
-117.15829,46.7298500000001,43,Academic Libraries,4-year,Washington State University Libraries,Washington State University Libraries,,PO Box 645610,Pullman,WA,99164-5610,Whitman,(509) 335-9672,5093356721,lib.reference@wsu.edu,http://libraries.wsu.edu,-117.15829,46.72985,ffb97401-b515-4b5b-867d-1eeb4f55055d
-122.3052561,47.6567361,44,Academic Libraries,4-year,University of Washington Libraries,Mathematics Research Library,,C306 Padelford,Seattle,WA,98195-4350,King,(206) 543-7296,,mathlib@uw.edu,http://www.lib.washington.edu/math,-122.3052561,47.6567361,3af14b64-2f98-4a3b-8fef-d0181121c47a
-122.43882,47.25244,45,Academic Libraries,4-year,Northwest College of Art & Design,Northwest College of Art & Design,,1126 Pacific Ave,Tacoma,WA,98402,Pierce,253-272-1126,,drothrock@ncad.edu,http://www.ncad.edu,-122.43882,47.25244,77c40031-21b0-40ea-a75d-18d38a744fdf
-123.014633,48.5450453,46,Academic Libraries,4-year,University of Washington Libraries,Friday Harbor Library,,Box 352900,Seattle,WA,98195-2900,King,(206) 616-0758,,,http://www.lib.washington.edu/fhl/,-123.014633,48.5450453,b9f55681-5b15-481a-905f-e820e3743160
-118.38953,46.0480700000001,47,Academic Libraries,4-year,Walla Walla University Libraries,Walla Walla University Libraries,,104 S College Ave,College Place,WA,99324-1159,Walla Walla,(509) 527-2134,5095272001,reference@wallawalla.edu,https://library.wallawalla.edu,-118.38953,46.04807,db00bbc7-bba6-4fc3-9ffb-64521943690f
-122.5568839,45.5121960000001,48,Academic Libraries,4-year,Walla Walla University Libraries,School of Nursing Library,,10345 SE Market St,"Portland, OR",WA,97216-2947,Clark,(509) 527-2124,,,https://wallawalla.edu/academics/libraries/portland-library/,-122.5568839,45.512196,e962da29-9865-471e-aaa9-084b47bf3e23
-122.3064958,47.6596743000001,49,Academic Libraries,4-year,University of Washington Libraries,Drama Library,,145 Hutchinson,Seattle,WA,98195-3950,King,(206) 543-5148,2065438512,,http://www.lib.washington.edu/drama/,-122.3064958,47.6596743,22ac131f-0aa3-4b7c-ac38-d7fcfa9bf6c6
-117.40568,47.6613400000001,50,Academic Libraries,4-year,Washington State University Libraries,Spokane Academic Library,,600 N Riverpoint Blvd,Spokane,WA,99210-1495,Spokane,509-358-7930,5093587928,spok.lib@wsu.edu,http://spokane.wsu.edu/services2/library/,-117.40568,47.66134,ed0ee810-12cb-4026-9de7-a1aefdba68a1
-122.31711,47.6106500000001,51,Academic Libraries,4-year,Seattle University Law Library,Seattle University Law Library,,901 12th Avenue Sullivan Hall,Seattle,WA,98122-1090,King,(206) 398-4220,,lawreference@seattleu.edu,https://law.seattleu.edu/library,-122.31711,47.61065,37bc1cfa-71f1-40bf-b205-e0af62da52c0
-117.15829,46.7298500000001,52,Academic Libraries,4-year,Washington State University Libraries,Owen Science & Engineering Library,,PO Box 643200,Pullman,WA,99164-3200,Whitman,(509) 335-2672,5093352534,lib.reference@wsu.edu,http://libraries.wsu.edu,-117.15829,46.72985,943eb40e-2982-4216-aae7-2401084d7af8
-122.25136,47.7302000000001,53,Academic Libraries,4-year,Bastyr University Library,Bastyr University Library,,14500 Juanita Dr NE,Kenmore,WA,98028-4966,King,(425) 602-3020,,library@bastyr.edu,http://www.bastyr.edu/library,-122.25136,47.7302,ccd214cd-4ee6-4a39-9d11-2710e8969509
-119.26403,46.33032,54,Academic Libraries,4-year,Washington State University Libraries,Tri-Cities Library,,2710 Crimson Way,Richland,WA,99354-1671,Benton,(509) 372-7430,5093727281,lib-req@tricity.wsu.edu,http://tricity.wsu.edu/Library/,-119.26403,46.33032,4ce634d1-98b5-4c48-ad1d-264ea4f9e14b
-122.3080138,47.6562883,55,Academic Libraries,4-year,University of Washington Libraries,East Asia Library,,322 Gowen Hall,Seattle,WA,98195-3527,King,(206) 543-4490,,ealcirc@lib.u.washington.edu,http://www.lib.washington.edu/east-asia/,-122.3080138,47.6562883,b9868a02-a024-4134-b8be-677912074b7a
-122.304502,47.6546331000001,56,Academic Libraries,4-year,University of Washington Libraries,Engineering Library,,Engineering Library Building,Seattle,WA,98195-2170,King,(206) 543-0740,2065433305,,http://www.lib.washington.edu/engineering/,-122.304502,47.6546331,07ba6358-039c-4480-9114-ea6c5a1822dc
-122.19578,47.6574900000001,57,Academic Libraries,4-year,Northwest University,Northwest University,,5520 108th Ave NE,Kirkland,WA,98033,King,(425) 889-5266,4258897801,library@northwestu.edu,http://library.northwestu.edu,-122.19578,47.65749,1f9c8aa7-feae-41bc-ab3f-dbe85aab0d16
-117.40568,47.6613400000001,58,Academic Libraries,4-year,Eastern Washington University Libraries,Spokane Academic Library,,600 N Riverpoint Blvd,Spokane,WA,99210-1495,Spokane,(509) 358-7930,5093587928,circulation@ewu.edu,https://spokane.wsu.edu/library/,-117.40568,47.66134,5a5a183f-42e4-415c-b89f-7a7f2115c867
-117.5843,47.5017,59,Academic Libraries,4-year,Eastern Washington University Libraries,Eastern Washington University Libraries,,320 Media Lane,Cheney,WA,99004-2453,Spokane,509-359-2264,5093594840,ewuliboffice@ewu.edu,http://www.ewu.edu/library,-117.5843,47.5017,02882031-9c47-4108-9a36-7e7c93781d23
-117.40302,47.6682900000001,60,Academic Libraries,4-year,Gonzaga University,Gonzaga University,,502 E Boone Ave,Spokane,WA,99258-0095,Spokane,(509) 313-5931,5093135904,refdesk@gonzaga.edu,http://www.foley.gonzaga.edu,-117.40302,47.66829,d955f6ef-5f89-4055-9b36-e825da26f8e0
-117.40027,47.6633800000001,61,Academic Libraries,4-year,Gonzaga University,Gonzaga University School of Law,,721 N Cincinnati St,Spokane,WA,99220-3528,Spokane,(509) 313-5792,5093133733,,http://www.gonzaga.edu/school-of-law/academics/chastek-library,-117.40027,47.66338,80e431cf-0941-4dd2-bc8b-2a5b3ecad13a
-120.39599,46.3758,62,Academic Libraries,4-year,Heritage University,Heritage University,,3240 Fort Rd,Toppenish,WA,98948-9562,Yakima,509-865-8522,5098654144,Library@heritage.edu,http://libguides.heritage.edu,-120.39599,46.3758,632504e5-d1fd-463f-bc62-e98efe9f7c7b
-122.305804,47.6576353,63,Academic Libraries,4-year,University of Washington Libraries,Music Library,,113 Music Bldg,Seattle,WA,98195-3450,King,(206) 543-1168,,musiclib@uw.edu,http://www.lib.washington.edu/music/,-122.305804,47.6576353,3603bfb8-1cb0-4177-8e2c-3ea78c8b84ce
-122.97908,47.07318,64,Academic Libraries,4-year,The Evergreen State College,The Evergreen State College,,2700 Evergreen Parkway NW,Olympia,WA,98505-0002,Thurston,(360) 867-6250,3608676790,libraryhelp@evergreen.edu,http://www.evergreen.edu/library,-122.97908,47.07318,2eeab34c-1ea1-4682-a700-3f9d1db7367f
-122.3108044,47.6563777000001,65,Academic Libraries,4-year,University of Washington Libraries,Odegaard Undergraduate Library,,4060 George Washington Lane,Seattle,WA,98195-3080,King,(206) 543-2990,,,http://www.lib.washington.edu/ougl/,-122.3108044,47.6563777,5dc40512-e540-4090-b404-79fd4e261deb
-122.3082666,47.6557602,66,Academic Libraries,4-year,University of Washington Libraries,Allen Library,,Allen Library Building,Seattle,WA,98195-2900,King,(206) 543-0242,,,http://www.lib.washington.edu/suzzallo,-122.3082666,47.6557602,a26b436e-a98c-42e1-b4ca-db95ee58bc23
-122.3082666,47.6557602,67,Academic Libraries,4-year,University of Washington Libraries,Suzzallo Library,,Suzzallo Library Building,Seattle,WA,98195-2900,King,(206) 543-0242,,,http://www.lib.washington.edu/suzzallo,-122.3082666,47.6557602,7a8f9160-4db0-4041-870f-ef1cb242619e
-122.43746,47.2441600000001,68,Academic Libraries,4-year,University of Washington Libraries,UW Tacoma Library,,1900 Commerce St,Tacoma,WA,98402,Pierce,(253) 692-4440,2536924445,taclib@uw.edu,http://tacoma.uw.edu/library,-122.43746,47.24416,78fb95cb-fcf0-4ab4-9773-cadd96e7920b
-122.3093337,47.6508187000001,69,Academic Libraries,4-year,University of Washington Libraries,Health Sciences Library (HSL),,T-334 Health Sciences Building,Seattle,WA,98195-7155,King,(206) 543-3390,,,http://hsl.uw.edu/,-122.3093337,47.6508187,457013e0-120b-4dc2-a60a-97be9ca4ffc6
-122.19144,47.7597700000001,70,Academic Libraries,4-year,University of Washington Libraries,UW Bothell and Cascadia College Library,,18225 Campus Way NE,Bothell,WA,98011-8246,King,(425) 352-5340,4253525342,http://library.uwb.edu/askus.html,http://library.uwb.edu,-122.19144,47.75977,4bdf2c3f-efb2-43ae-af92-c4bd4dc61d57
-122.63413,45.72499,71,Academic Libraries,4-year,Washington State University Libraries,Vancouver Library,,14204 NE Salmon Creek Ave,Vancouver,WA,98686-9600,Clark,(360) 546-9680,3605469039,library@wsu.edu,http://library.vancouver.wsu.edu,-122.63413,45.72499,be44da4e-f79a-4ed4-98e0-4a4146be2c0b
-122.49714,47.17645,72,Academic Libraries,4-year,Clover Park Technical College,Clover Park Technical College,,4500 Steilacoom Blvd SW,Lakewood,WA,98499-4098,Pierce,(253) 589-5544,2535895726,,http://www.cptc.edu/library,-122.49714,47.17645,ed3c4ab7-fbdb-4696-9606-6e5f7de8be2b
-122.33628,47.6181500000001,73,Academic Libraries,4-year,Cornish College of the Arts,Cornish College of the Arts,,1000 Lenora Street,Seattle,WA,98121-2718,King,206-726-5041,2063155811,libraryref@cornish.edu,http://www.cornish.edu/library/,-122.33628,47.61815,959a7de0-a0b8-4cfe-82a6-5ddaa5cca460
-122.36265,47.64962,74,Academic Libraries,4-year,Seattle Pacific University Library,Seattle Pacific University Library,,"3307 3rd Ave W, Ste 306",Seattle,WA,98119-1957,King,206-281-2228,2062812936,,http://spu.edu/library,-122.36265,47.64962,3b14b5a0-eee4-406a-8077-967a248428b8
-122.34615,47.6158100000001,75,Academic Libraries,4-year,Antioch University Seattle,Antioch University Seattle,,2400 Third Avenue Suite 200,Seattle,WA,98121-1814,King,(206) 268-4120,,library.aus@antioch.edu,https://www.antioch.edu/seattle/resources/students/library/,-122.34615,47.61581,71268dc7-0568-4560-8ecd-554fef106084
-122.96066,46.71531,76,Academic Libraries,4-year,Centralia College,Centralia College,,600 Centralia College Blvd,Centralia,WA,98531-4035,Lewis,(360) 623-8956,,librarian@centralia.edu,https://www.centralia.edu/library/,-122.96066,46.71531,d4a8fee3-9b4e-4e16-8586-57e40d82d4d7
-122.3269261,47.8150397000001,77,Academic Libraries,4-year,Central Washington University,CWU - Lynnwood,,"Snoqualmie Hall, #109",Lynnwood,WA,98036-5999,Snohomish,"(425) 640-1574, ext. 3750",4256401488,Lynnwoodlib@cwu.edu,http://www.lib.cwu.edu/lynnwood-campus-library,-122.3269261,47.8150397,c7eb6c6a-6dcf-4ccf-b74b-0253fc661fad
-122.34433,47.6173400000001,78,Academic Libraries,4-year,City University of Seattle Library and Learning Resource Center,City University of Seattle Library and Learning Resource Center,,"521 Wall Street, Suite 100",Seattle,WA,98121,King,206-239-4550,,library@cityu.edu,https://library.cityu.edu/,-122.34433,47.61734,173e7adb-5386-432d-a39f-525bbe4feb8f
-122.8224,47.0397100000001,79,Academic Libraries,4-year,Saint Martin's University,Saint Martin's University,,5000 Abbey Way SE,Lacey,WA,98503-3200,Thurston,(360) 688-2260,3604868810,circulation@stmartin.edu,http://www.stmartin.edu/library,-122.8224,47.03971,8a8e0238-9dbb-4794-ab03-56627c45cff9
-122.3032431,47.3875883000001,80,Academic Libraries,4-year,Central Washington University,CWU - Des Moines,,"Higher Education Center, Building 29, #360",Des Moines,WA,98198-1007,King,(206) 439-3800 ext 3860,,cwu_desmoines@cwu.edu,http://www.lib.cwu.edu/offcampus/eucs/seatac.html,-122.3032431,47.3875883,c4dfa6e0-e3ed-4185-b2a6-1e9cb401e149
-117.1616232,46.729403,81,Academic Libraries,4-year,Washington State University Libraries,Animal Health Library,,170 Wegner Hall,Pullman,WA,99164-6512,Whitman,(509) 335-9556,5093355158,lib.reference@wsu.edu,http://libraries.wsu.edu,-117.1616232,46.729403,41f2c12f-4e6f-489c-94ef-ef0d8f80ea40
-122.48768,48.7371800000001,82,Academic Libraries,4-year,Western Washington University,Western Washington University,Western Libraries,516 High St.,Bellingham,WA,98225-5946,Whatcom,(360) 650-3050,3606503044,,https://library.wwu.edu/,-122.48768,48.73718,7a10d5bb-fe96-46d6-ac45-ee792ba53d72
-120.55195,46.9992700000001,83,Academic Libraries,4-year,Central Washington University,Central Washington University,,"400 E. University Way, MS 7548",Ellensburg,WA,98926-7548,kittitas,509-963-1901,5099633684,library@cwu.edu,http://www.lib.cwu.edu,-120.55195,46.99927,7ea8d057-7fe1-42f6-81e5-7bd4030e0bcd
-122.2909171,47.6580929,84,Academic Libraries,4-year,Elisabeth C. Miller Library,Elisabeth C. Miller Library,,Center for Urban Horticulture,Seattle,WA,98105,King,(206) 543-0415,,hortlib@uw.edu,http://www.millerlibrary.org,-122.2909171,47.6580929,2908a130-002f-4ae7-a305-e409541413c9
-122.3210203,47.6088634000001,85,Academic Libraries,4-year,Seattle University,Seattle University,Lemieux Library,Seattle University,Seattle,WA,98122-1090,King,(206) 296-6210,2062962572,library@seattleu.edu,https://www.seattleu.edu//library/,-122.3210203,47.6088634,7a30f824-dc99-41fc-b3ca-34927e698f20
-122.4819511,47.2643247,86,Academic Libraries,4-year,University of Puget Sound,University of Puget Sound,,Collins Memorial Library,Tacoma,WA,98416-0004,Pierce,(253) 879-3669,2538793670,libref@pugetsound.edu,http://www.pugetsound.edu/academics/academic-resources/collins-memorial-library/,-122.4819511,47.2643247,c58e7805-68e0-4665-815c-d5465974093b
-122.30726,47.6503700000001,87,Academic Libraries,4-year,University of Washington Libraries,University of Washington Libraries,,Box 352900,Seattle,WA,98195-2900,King,(206) 543-0242,2066858727,,http://www.lib.washington.edu,-122.30726,47.65037,54bd60b8-a826-4ff3-b50f-97a592b2332d
-122.48768,48.7371800000001,88,Academic Libraries,4-year,Western Washington University,WWU Music Library,,516 High St,Bellingham,WA,98225-5946,Whatcom,360-650-3716,3606507974,,http://www.ac.wwu.edu/~musiclib,-122.48768,48.73718,c0c78b28-4f74-4b28-977d-3b538ed94a2e
